"","estimate","LCL95","UCL95","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)"," 0.484"," 0.029"," 0.939","0.229"," 2.115","81.000","0.038"
"High Effort Prompt (versus No Prompt) x Day in Study","-0.117","-0.305"," 0.071","0.095","-1.240","81.000","0.219"
"High Effort Prompt (versus No Prompt) x Day in Study x Day in Study"," 0.010","-0.008"," 0.027","0.009"," 1.072","81.000","0.287"
"Low Effort Prompt (versus No Prompt)"," 0.077","-0.468"," 0.623","0.274"," 0.281","81.000","0.779"
"Low Effort Prompt (versus No Prompt) x Day in Study","-0.018","-0.256"," 0.220","0.120","-0.148","81.000","0.882"
"Low Effort Prompt (versus No Prompt) x Day in Study x Day in Study"," 0.001","-0.021"," 0.023","0.011"," 0.098","81.000","0.922"
"Intercept","-0.401","-0.931"," 0.130","0.267","-1.504","81.000","0.137"
"age"," 0.002","-0.005"," 0.009","0.004"," 0.482","81.000","0.631"
"is_male","-0.135","-0.419"," 0.148","0.142","-0.951","81.000","0.345"
"is_latino"," 0.210","-0.073"," 0.493","0.142"," 1.478","81.000","0.143"
"is_not_latino_and_black"," 0.137","-0.132"," 0.406","0.135"," 1.013","81.000","0.314"
"is_not_latino_and_other"," 0.133","-0.236"," 0.503","0.186"," 0.718","81.000","0.475"
"baseline_tobacco_history"," 0.001","-0.013"," 0.014","0.007"," 0.075","81.000","0.941"
"has_partner"," 0.002","-0.207"," 0.212","0.105"," 0.023","81.000","0.982"
"income_val","-0.004","-0.036"," 0.028","0.016","-0.257","81.000","0.798"
"hour_coinflip_local","-0.001","-0.011"," 0.009","0.005","-0.125","81.000","0.901"
"days_between_v1_and_coinflip_local"," 0.094","-0.028"," 0.216","0.061"," 1.529","81.000","0.130"
"any_response_2qs"," 0.031","-0.104"," 0.165","0.068"," 0.454","81.000","0.651"
"any_recent_eligible_dp","-1.142","-1.507","-0.777","0.183","-6.224","81.000","0.000"
"engagement_most_recent_eligible"," 0.867"," 0.608"," 1.126","0.130"," 6.662","81.000","0.000"
"days_between_v1_and_coinflip_local_squared","-0.008","-0.020"," 0.004","0.006","-1.387","81.000","0.169"
