"","pbcom_est","pbcom_stderr"
"High Effort Prompt (versus No Prompt)","0.360","0.440"
"High Effort Prompt (versus No Prompt) x Day in Study","0.660","0.620"
"High Effort Prompt (versus No Prompt) x Day in Study x Day in Study","0.380","0.660"
"Low Effort Prompt (versus No Prompt)","0.660","0.580"
"Low Effort Prompt (versus No Prompt) x Day in Study","0.300","0.560"
"Low Effort Prompt (versus No Prompt) x Day in Study x Day in Study","0.700","0.440"
"Indicator for High vs. Low","0.220","0.580"
"Indicator for High vs. Low x Day in Study","0.800","0.320"
"Indicator for High vs. Low x Square of Day in Study","0.200","0.400"
"High vs. Low at Day 2","0.240","0.720"
"High vs. Low at Day 3","0.320","0.580"
"High vs. Low at Day 4","0.400","0.280"
"High vs. Low at Day 5","0.420","0.200"
"High vs. Low at Day 6","0.420","0.220"
"High vs. Low at Day 7","0.360","0.560"
"High vs. Low at Day 8","0.260","0.840"
"High vs. Low at Day 9","0.240","0.760"
