"","Estimate","StdErr","LCL","UCL","p_value"
"High Effort Prompt (versus No Prompt)"," 0.327","0.099"," 0.133","0.521","0.001"
"High Effort Prompt (versus No Prompt) x Day in Study","-0.026","0.016","-0.057","0.005","0.095"
"Low Effort Prompt (versus No Prompt)"," 0.159","0.101","-0.039","0.358","0.115"
"Low Effort Prompt (versus No Prompt) x Day in Study","-0.022","0.018","-0.057","0.013","0.222"
"Indicator for High vs. Low"," 0.168","0.107","-0.041","0.377","0.116"
"Indicator for High vs. Low x Day in Study","-0.005","0.019","-0.042","0.033","0.809"
"High vs. Low at Day 2"," 0.158","0.073"," 0.015","0.301","0.030"
"High vs. Low at Day 3"," 0.154","0.058"," 0.040","0.268","0.008"
"High vs. Low at Day 4"," 0.149","0.047"," 0.057","0.241","0.001"
"High vs. Low at Day 5"," 0.145","0.042"," 0.063","0.226","0.001"
"High vs. Low at Day 6"," 0.140","0.045"," 0.052","0.228","0.002"
"High vs. Low at Day 7"," 0.135","0.055"," 0.028","0.243","0.014"
"High vs. Low at Day 8"," 0.131","0.069","-0.005","0.266","0.058"
"High vs. Low at Day 9"," 0.126","0.085","-0.041","0.293","0.138"
