"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)","-0.795","0.395","-1.569","-0.021","0.044"
"age"," 0.002","0.003","-0.004"," 0.008","0.510"
"is_male","-0.138","0.094","-0.322"," 0.047","0.143"
"is_latino"," 0.120","0.097","-0.070"," 0.310","0.215"
"is_not_latino_and_black"," 0.117","0.089","-0.057"," 0.292","0.187"
"is_not_latino_and_other"," 0.122","0.136","-0.144"," 0.388","0.370"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","0.762"
"has_partner","-0.051","0.074","-0.195"," 0.094","0.490"
"income_val"," 0.002","0.011","-0.019"," 0.024","0.827"
"hour_coinflip_local"," 0.007","0.004"," 0.000"," 0.015","0.055"
"days_between_v1_and_coinflip_local"," 0.084","0.056","-0.026"," 0.195","0.135"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.006","0.005","-0.016"," 0.004","0.256"
"any_response_2qs"," 0.076","0.043","-0.008"," 0.159","0.078"
"any_recent_eligible_dp","-0.701","0.339","-1.366","-0.037","0.039"
"engagement_most_recent_eligible"," 0.593","0.076"," 0.444"," 0.742","0.000"
